text,label
Man spit it out already,Not Bully
say that again imma b under yo bee lil bro,Not Bully
Say it don’t spray it,Not Bully
Bro is just hungry for a dog,Not Bully
Fentanyl is pretty derpy,Not Bully
Who the fuck are you?,Bully
hairynigga635,Bully
Who Is u?,Not Bully
MİNİON AHH LAUGH,Not Bully
@whos.eztli lmao,Not Bully
That joke was truly and utterly unfunny. After I heard the joke I immediately threw my phone of the my 4th floor balcony because of the utter most cringe expressed in this video. I would rather hear 200 air hornsfor the rest of my life then hear the words u just sed ever again.,Bully
He sold me fentanly  on 63rd st,Bully
@ch._.kanz how you miss the censor @wdfroot,Not Bully
Gotcha! ,Not Bully
Just go bald my nigger.,Bully
"Tofu, nobody listens to you.",Bully
@tristan_tier_femyfym is all the same.,Bully
Is this the kid who was crying over a dead deer,Not Bully
African black boy,Not Bully
@memes.arriving.at.your.door @xdub_city @dr._depression_,Not Bully
Put some gas in it. I'll be there in five minutes.,Bully
I'll send you back to Tiananmen Square.,Bully
Tofu.,Bully
love it!!,Not Bully
Sound,Bully
Remember when you sold me meth behind speedway,Not Bully
@tr_pp3 @poopsicklefudge,Not Bully
A lesbian haircut.,Bully
Fat-ass niggers always lie.,Bully
@joey_hyson what u search for this,Not Bully
"You're fascinated by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthralled by me, you're enthraled by me.",Bully
Your pfp bro,Not Bully
cham phan tart,Not Bully
@kidchriss Big Nigger ne aukaat dikha dikha di,Bully
@yasir_ifaz man wtf you doing here,Not Bully
"Nigger, you don't have a purpose. You get out of here.",Bully
This man is genious,Not Bully
Call CCCP on your ass.,Bully
Tofu.,Bully
@fuckthegovernment5.56 bro sound like Mr Krabs ,Not Bully
@sofiblaancoo mi amiga dijo que le enseñes a bailar tan cool como vos,Not Bully
He sold me on 63rd Street.,Bully
SigmaniggaName,Bully
I really hate you. I hate you.,Bully
Eggcakes.,Bully
Are u acoustic,Bully
Ong lil jit,Not Bully
Friendly fire,Not Bully
It sucks.,Bully
@gavin.s201 @drep0p ,Not Bully
Niggers cut off your hair at this point.,Bully
That’s fake bc they don’t do that every second  my uncle has it and he doesn’t stutter every second like you losing add nogga,Bully
Just fall off your brother.,Bully
Le falta lo negro y queda igualito,Not Bully
A lesbian haircut.,Bully
How does this even happen,Not Bully
"Big-ass, black-ass, black-ass, three-down, three-brow boy, looks like a big Mike under his neck.",Bully
Tofu.,Bully
"Nigga, you're back.",Bully
Nigga took corona virus seriously,Bully
He get the pass,Not Bully
Marla brought some sweets for your next meal with Fent.,Bully
Just fall off your brother.,Bully
How he felt after this:,Not Bully
@josh_torbert_44 just kidding just kidding,Not Bully
pls,Not Bully
I follow back!!,Not Bully
D!e!,Bully
@doubleo4682,Not Bully
nigga who is u,Bully
fentanyl,Not Bully
Nigga at this point cut off your hair ,Bully
Blud china get put back in santa workshop,Not Bully
….wa,Not Bully
bro: my internet isnt bad also bro:,Not Bully
"I hate this guy, man.",Bully
"Actually, it's a ciggga.",Bully
nigga reaction is longer than the video,Bully
Well then I’ll put bullets in your skin IP:2882.8282.,Not Bully
I believe it's a chain.,Bully
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,Bully
Me too I didn’t ask for a glass of your opinion,Bully
I really want to give this kid a funny shoelace.,Bully
I was touched through the screen,Not Bully
Use condoms guys,Not Bully
Do you have a voice?,Bully
@oma42069 @henrykaser,Not Bully
"Go to school, go to the Lylewiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School Whiggga School",Bully
You remind me of the last guy I kidnapped,Not Bully
Broou,Not Bully
Bro your soo weird,Not Bully
I didn't ask you to give me any advice.,Bully
Lord have mercy I love this boy,Not Bully
@luke.bergmann_  @baylin_bingham ,Not Bully
@rubn_ak @definitely.notlee,Not Bully
I'm talking about niggers.,Bully
@mykqh.1 @sara.c.parker,Not Bully
That's a dog nigga!,Bully
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",Bully
@shefwjordan00 nigga,Bully
@noolimitpooh's hateful esh,Bully
@azaan_taffazal 10/6 zonewar and 10/7 boxfight,Not Bully
Put some gas in it. I'll be there in five minutes.,Bully
Who let bro cook,Not Bully
@uncleshidfard91 I was being sarcastic pls stfu .,Bully
No one dares to laugh at you.,Bully
Niggers react longer than video.,Bully
Why does our hair look better when we wet it,Not Bully
@9jr.io,Not Bully
Condoms could have saved us.,Bully
@theyfw.s3an @1se3an,Not Bully
"Hey, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",Bully
Who the fuck are you?,Bully
"Every time I see your job, I really want to kill myself, and the more I want to kill myself, the more I want to kill myself.",Bully
Delete your account,Bully
Take me for a nasty button...,Bully
Who is this black as nigga bro,Bully
Stfu,Bully
@imkuriosity @bloxybingowarrior67,Not Bully
God love y’all,Not Bully
@justin______69420 fanum taxed bros originality ,Not Bully
@jay.ifwnb @1._.shemsi._.1,Not Bully
Your the one who wrote it lol nigga,Bully
@shefwjordan00 Nigger @shefwjordan00,Bully
@axongen @committingasyn,Not Bully
@sheluvbalajay don't let me catch you in comments again neptune,Not Bully
@daria_wiredu,Not Bully
He acc pisses me off so much I acc hate him with all my heart,Bully
His face,Not Bully
i’m gonna touch you vexbolts,Not Bully
Start using fentanyl,Bully
"I thought he was joking, but he's a retard.",Bully
"Just spell ""little fart.""",Bully
@5errodmayo why bro get you so mad,Not Bully
@lowfloor.boss ONG,Not Bully
a condom would’ve saved us from seeing this rn,Bully
Pissed at his size lmfaooo you  a lilb,Not Bully
"If there's no living object to feel, all your property will kill itself in the worst way.",Bully
I want you to hold Pepmol on dibutol.,Bully
Of all the drinks to sponsor you sponsor prime? .,Not Bully
Fentanyl is calling your name,Not Bully
factory reset him,Not Bully
Just speak nigeroo#,Not Bully
Stfu you fucking autistic retard looking ass boi you look like that roblox streamer ma boi you need braces for your teeth ass boi your parents have you in the basement for a reason,Bully
This is great. Waiting for more great content like this.,Not Bully
@popa___n he definitely spitting that’s for sure,Not Bully
i'll make u an amber alert kid,Not Bully
Get out of here nigga you have no purpose ,Bully
@adammor0612 skibidi toilet,Not Bully
@makeangelscry We just love to see minorities proving people wrong!,Not Bully
bro what? ,Not Bully
putangina,Not Bully
Did he sound?,Bully
"Guys, you don't have a chance to go to college.",Bully
@tristan_tier_femyfym is all the same.,Bully
"Nigger, please leave me alone.",Bully
@londynstephens35,Not Bully
Spell it ,Not Bully
Bros' camera is trash.,Bully
Wash your greasy ass hair,Bully
@wenhaaao much of the high rise apartments in rural suburban China outside of bigger cities like Ningbo or even Shanghai are made of low quality materials and are susceptible to collapse and damage. Even in some more sparsely populated districts of Shanghai proper ie qingpu and even outer minghang u see buildings (that look quite luxurious on the outside) that are generally unpopulated and are falling apart internally,Not Bully
When did bro get massive,Not Bully
Al final si te regalaron la ps5 por aprobar?,Not Bully
"Spell ""cheeky fecker"" ",Bully
He doesn't know yet,Not Bully
@munno_op1 legend,Not Bully
@rubn_ak ,Not Bully
Free car wash,Not Bully
Honest question,Not Bully
Marla brought some sweets for your next meal with Fent.,Bully
Fentany.,Bully
"Nigger, don't do this again. You're skinny again.",Bully
I know you're alive.,Bully
@youngezeo it’s not it flooded right there and they drove into it u can see and hear when it hit the water,Not Bully
This kids an industry plant for prime,Not Bully
Put some gas in it. I'll be there in five minutes.,Bully
"Guys, you don't have a chance to go to college.",Bully
You molest children,Not Bully
This isn't YouTube n*gga.,Bully
@luhtwxzzy @jadynm006,Not Bully
Nah that’s just what y’all do over there,Not Bully
@elfanum this you?,Not Bully
girl what,Not Bully
mb guys he escaped my basement,Not Bully
@jorusdiary woah there melanie fan,Not Bully
@_1randall ,Not Bully
Are you retarted,Bully
@kanyes_foreskim mao,Not Bully
وای ممه,Not Bully
Fat-ass niggers always lie.,Bully
Drink water,Not Bully
@azaan_taffazal winterfest hm dono ne krna hai,Not Bully
Bro is in a fucking dungeon,Not Bully
I know you're alive.,Bully
Bitch behaved minion ,Bully
I've never resisted the urge to slap someone else.,Bully
Cap,Not Bully
"Bro I love this kid, he's always with good attitude even though when these cruel, no life people say about him in he comments, live on kid ",Not Bully
I’m gonna use the double gulp on the slurpy machine,Not Bully
@gavin.s201 @leon_patton_20,Not Bully
@gonzal0ooooo never was,Not Bully
"Lil Chigga wouldn't be disrespectful to my motherland, Emma, for sending him back to make more calls, would he?",Bully
Put that double chin to work,Not Bully
oo chigga(oo chigga),Bully
Nigga you better not touch that dog,Bully
Nigga takes the coronary virus seriously.,Bully
@liethassad this u?,Not Bully
@nick_el_mejor @c0morian,Not Bully
"You're big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big, big.",Bully
Is there not a medication for this yet?,Not Bully
@tristan_tiger_femy fym all the same where does the paki term come frm den fucking uneducated ,Bully
Boohoo chigga,Bully
I’m gonna lace your inhaler greasy fuck,Bully
Merry Christmas,Not Bully
Start using fentanyl,Bully
Son of a bitch.,Bully
All Indian names,Not Bully
"Nigger, do you want to get an Amber alert?",Bully
@heavxnzz bitch what SAMEEEE,Not Bully
Just means you got hella plaque on your teeth.,Bully
I’m going to hell,Not Bully
@_.additionally_ same,Not Bully
Wtf duke doing???,Not Bully
@vasz.21 hey bbg,Not Bully
"My hate speech may not disappear from your skin, but I'm sure of it.",Bully
Muharremmmmmmm,Not Bully
@jal_paghdal15 ,Not Bully
"Look at videos from Philippines getthos, slums from S. America, Bangledesh etc then you will see how great China is and even N. Korea looks like paradise ",Not Bully
"Type A, type V, type V, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, type VI, 6 type VI, type VI, type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type 6 type VI,",Bully
"@drew.ferguson3 adin ross, speed & co. ruined a whole generation of kids lmao",Not Bully
It's a sound cookie.,Bully
@jackmckenzie47 ,Not Bully
I hate you.,Bully
try exercising,Not Bully
@daxynjude stfu nigga,Bully
@syrianpsycho like 10 years ago,Not Bully
"@mollywator i wonder how many videos of children you have on your timeline where you  get so pissed about their weight you legit had to break a sweat making a comment because it doesn’t suit your viewing pleasures LMFAOif you’re also foolish enough to believe in hell, that’s where you’ll be going brothaaaaaaa",Not Bully
Piss penis dodo ass,Bully
nigga turned and talked his partner,Bully
@alihassan_2012 done ha janii,Not Bully
Get this weird Nica off my Fed Insta.,Bully
Tweakin and geakin,Not Bully
No one dares to laugh at you.,Bully
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,Bully
Calling the ccp on ur ass,Bully
@fuckthegovernment5.56 @_sosa_esteven_,Not Bully
Did you change your teeth?,Bully
I really hate you. I hate you.,Bully
@braydenburtonnn ok Brayden,Not Bully
SigmaNigga,Bully
He def has a galaxy cat shirt,Not Bully
I hope you choke on pepmol bismol,Bully
@kevinlong553 callate,Not Bully
Tofu.,Bully
If inanimate objects could feel things all of your possessions would have killed themselves@in the worst way possible,Bully
Get this weird Nica off my Fed Insta.,Bully
bro u used to be skinny,Not Bully
Bro needs to get some new wifi,Not Bully
@tymaj1331 found you,Not Bully
Eggcakes.,Bully
@uncleshidfard91 I was sarcastic at the time.,Bully
Inside joke,Not Bully
"This nigger has no whores, no band, no whores can work in strip clubs, sometimes strip clubs.",Bully
"Big-ass, black-ass, black-ass, three-down, three-brow boy, looks like a big Mike under his neck.",Bully
he sold me a fentanyl cart,Not Bully
The fire is not a friendly fire to Chigga.,Bully
It means you have the Hella sign on your teeth.,Bully
Icy,Not Bully
The black and black and purple that wears purple for the bitches.,Bully
"Actually, it's a ciggga.",Bully
"Irma's oil, oil, oil, oil, touch you.",Bully
Why skz,Not Bully
Nigga please leave me lone,Bully
Fucking fuck wit,Bully
@moh1232935 really hamood,Not Bully
Omgosh those eyes are full of devilment ,Not Bully
Nigga why,Bully
Pissed at his size is dumb af dont even hear yourself ,Not Bully
"Just spell ""little fart.""",Bully
Eggs who?,Bully
@v_antink how bro expected us to react,Not Bully
Niga asked me to catch the missing gg (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga) (Nigg) (Nig) (Nig) (Nig) (Niga) (Niga) (Niga) (Niga) (Niga) (Niga),Bully
Mom needs to give bro a better script  insinuating is “maybe possible” just with modernization,Not Bully
Lesbian haircut,Bully
"Guys, you don't have a chance to go to college.",Bully
Nah this some fnaf menu screen shit ,Not Bully
Santas not real,Not Bully
@ayoub_yyc @__1oganb,Not Bully
I know you're alive.,Bully
@nannitwitch,Not Bully
‍,Not Bully
Get a job,Not Bully
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,Bully
your gonna find something long under your skin tonight,Not Bully
@yaaaannayuhh ong like lil bro mixed . Social media sad nowadays,Not Bully
Hatred from Germany.,Bully
Da nee motten virinja ippale thodngi ichimulli,Not Bully
I didn't ask you to give me any advice.,Bully
Bro tried to reach skypia,Not Bully
@sillydeucee corny,Not Bully
Bro lose some weight,Not Bully
Sound,Bully
Bros tweaking fr,Not Bully
@elwocky lets work,Not Bully
Bring kidnapping here.  _,Bully
@colton.b20 I wanna know,Not Bully
Did you change your teeth?,Bully
Lo q provoca el bullyng,Not Bully
Sell him,Not Bully
@maxxigol2008,Not Bully
You got a big ahh forehead,Bully
Delete your account,Bully
Kindly Delete this ,Not Bully
Autistic,Bully
"They won't do my uncle's fake bcbc every second, and he won't stutter every second like you.",Bully
@colton.b20 i’m nearly ten years older than u but thanks for the compliment ,Not Bully
@alihassan_2012 12/2 zone,Not Bully
"Blue, you got an extra chromium or something.",Bully
@n.o.r.a.h.09 aye twin dm me that,Not Bully
Not the time for you to be talking about wars...,Not Bully
"@colton.b20 you little ass hell ,  respect ur elders",Not Bully
Have a merry christmas ,Not Bully
u wanna be famous if u just eat a bomb everyone will know about you,Not Bully
"Hey, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",Bully
ATEEEEE,Not Bully
it’s always the Star Wars shirt kid,Not Bully
He is under the age of 13,Not Bully
@avenuesablaze,Not Bully
@j3r1n_t,Not Bully
@daxynjude stufu @daxynjude studu,Bully
Did you start over?,Bully
Nigga wdf is u talm bout,Bully
Bro don’t even try to speak English,Not Bully
my recess football team can beat yours easily,Not Bully
Chigga wtf,Bully
@tristan_tiger_femy stupidest shit I read,Not Bully
@publictoiletsguy what the flip that is not nice,Not Bully
@alihassan_2012  badamashy,Not Bully
"Nigga, you better not touch that dog.",Bully
this kid knew too much while kids in U.S doesnt know their gender is,Not Bully
Try heroin injected prime,Not Bully
At least bro got a car wash,Not Bully
I think he needs tighter clothes,Not Bully
Kid you better not travel anywhere near China. After this comment. No joke!,Not Bully
Nigga who is u,Bully
GET THIS FREAKY NIGGA OFF MY FEED INSTA,Bully
pla,Not Bully
thanks for the fentanyl bro i needed it,Not Bully
You like 4 years older than me,Not Bully
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,Bully
"As an Indian, what the fuck bro",Not Bully
# It's got to be the Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-Titi-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T-T,Bully
Chicken ass ass.,Bully
@c_mill40 yoooooo,Not Bully
I believe it's a chain.,Bully
Somebody get this guy down!,Bully
I want you to hold Pepmol on dibutol.,Bully
gordon,Not Bully
Bros camera is trash,Bully
this shit is dope bro keep it up,Not Bully
I didn't ask you to give me any advice.,Bully
@jaadasun,Not Bully
Bro hating on his home land,Not Bully
I'm talking about niggers.,Bully
@armin_azimi13 @nicolasverresen,Bully
Your scammer!!,Not Bully
Bruh…,Not Bully
It's a sound cookie.,Bully
Nigger.,Bully
How u get that big,Not Bully
They forgot to update him,Not Bully
Niggers. Niggers are Udams.,Bully
Guys calm down he’s just bulking ,Not Bully
@nolimitpoohh annoying esh,Bully
finna die from sugar overdose,Not Bully
He only allowed to say half,Not Bully
Niga let me catching lacking ong,Bully
Did you change your teeth?,Bully
"@daxynjude, please.",Bully
Nigga shut tf up,Bully
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",Bully
Veras,Not Bully
@yourguy_andy reporting the F out this comment,Not Bully
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",Bully
What happened? To you,Not Bully
Ok,Not Bully
Zo ga je eruit zien als je teveel games speelt,Not Bully
@ilegaldwarf your welcome,Not Bully
Marla brought some sweets for your next meal with Fent.,Bully
SigmaniggaName,Bully
It makes me look at it.,Bully
@uncleshidfard91 I was sarcastic at the time.,Bully
Can you smell color?,Not Bully
I've never resisted the urge to slap someone else.,Bully
Nigga got stick drift,Bully
Big brain to the ass.,Bully
That knowing smile of his. Love it ,Not Bully
I'm done with this nigga ,Bully
Niggers. Niggers are Udams.,Bully
It makes me look at it.,Bully
Get this weird Nica off my Fed Insta.,Bully
Jayden?,Not Bully
@bxrdia.sxmino me?,Not Bully
@chrisforever_solo plz just use your eyes,Not Bully
What the fuck,Not Bully
Nigger turns around and talks to his partner.,Bully
Better equipment? Better soldiers? I've heard that during the Vietnam occupation and look what happened to the 'mighty' Americans. Give me a break. Hahaha,Not Bully
@jay.ifwnb @_jynxzorya,Not Bully
Do you have a voice?,Bully
Bro spitting,Not Bully
Call CCCP on your ass.,Bully
I have kids like you in my basement.,Bully
"Guys, I think he’s autistic",Bully
@fuckthegovernment5.56 @boraculhan,Not Bully
Oh you good Jacob ,Not Bully
Bros eye gonna get stuck like that,Not Bully
Big brain to the ass.,Bully
I didn't ask you to give me any advice.,Bully
NOOO WAYYY,Not Bully
Hatred from Germany.,Bully
@oma42069 ,Not Bully
@whyfearwhenyashishere can u translate it for me?,Not Bully
@natal_wit25bucks,Not Bully
so u see,Not Bully
@brwd._.nova,Not Bully
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,Bully
"Who's Nicole, you?",Bully
Just go bald my nigger.,Bully
The bugs are under your skin nigga jys,Bully
@juniornl324 ,Not Bully
"Nigga, you better not touch that dog.",Bully
Did you start over?,Bully
@gonzal0ooooo he was never funny ,Not Bully
That look. ,Not Bully
@jal_paghdal15 he sayin the watermelon ain't got no sweet,Not Bully
Fucking smart ass.,Bully
bro must want me to take of his pants,Not Bully
this shit lame as fuck,Bully
Is it Mr bussin Maddox or Mr buss in Maddox,Not Bully
morning ruined thanks a lot,Not Bully
You're a skinny nigger.,Bully
he anit making it out,Not Bully
nigga you again? ,Bully
I wanna see them spell this shi out,Not Bully
@atx_hugo58 ,Not Bully
Bring me the kidnapping.,Bully
70298k. Shut the fuck up.,Bully
Cómo pudiste escribir feliz navidad si eres de los estados,Not Bully
@emily_whetton2210,Not Bully
Please take a shower bro,Not Bully
"Nigger, you don't have a purpose. You get out of here.",Bully
@lukas_vndlck,Not Bully
@blscknigga63737474,Not Bully
Niggers. Niggers are Udams.,Bully
retardd ,Bully
@danielcastillo_1030,Not Bully
LMFAO HOW DID IT GET IN THE CAR,Not Bully
Hairyniggaballs901,Bully
Dhar man no mentía sobre el autismo,Not Bully
@10krenio fr,Not Bully
Niggers react longer than video.,Bully
@zazamkz @jordan_ramsden103 they really disrespected u like that,Not Bully
How is your hair dry and wet at the same time,Not Bully
get oiled up i’ll be their in 5,Not Bully
Nigger was strangled by that word.,Bully
Friendly fire isn’t on chigga,Bully
Your teeth r social distancing stfu nigga,Bully
Very tricky Jacob!,Not Bully
Bros' camera is trash.,Bully
@hmmjayy bro one slow ass mf ,Not Bully
@no1khotso jordan,Not Bully
Just go bald my nigger.,Bully
"@vines.ethan idk, honestly why do u care so much",Not Bully
"Nigga, you're back.",Bully
Bro why you have to be so mean like it's not his fault and then like y'all want to make fun of him because he's stutters it's not a problem with that,Not Bully
Hatred from Germany.,Bully
"This is the 24th time you've seen my fucking room. Oh, my fucking God.",Bully
Get the badge in,Not Bully
It's a sound cookie.,Bully
@ryd3r.808 Hahahahahahahahaha!!  What a chuckle!! ,Not Bully
Bros on 1000 ping.,Not Bully
I hate you,Bully
 look ahh,Not Bully
"Just spell ""little fart.""",Bully
Ion like this Nigga anymore,Bully
you sucks,Bully
"Not a smiley face, not a headache, not even a subtle amount of air from my esophagus. Science says, I didn't even feel a little touched before you laughed at your brain for your muscles. It's a bad joke, I can't believe that anyone legally allowed you any creativity. You have to put it into that joke. You have to put the amount of brain energy into that brain that has the potential to power every house on Earth. Get a personality, learn a joke, read a book. I'm not saying it's funny.",Bully
Sweating that whole video,Not Bully
The edits are actually good too. Bros wasting his talent making sigma posts ‍,Not Bully
@kidchriss Big Nigger ne aukaat dikha dikha di,Bully
@yanezz._ @melanieburke.15,Not Bully
killing myself,Not Bully
Bro he doesnt even need to clap he just clap with his chest ,Not Bully
@skin_vvalker ,Not Bully
Santa’s not real,Not Bully
I follow back!!,Not Bully
Comment #1000,Not Bully
Fentany.,Bully
Nigger turns around and talks to his partner.,Bully
fire edit dude!!!! ,Not Bully
Eh ‘em @colbybrock,Not Bully
just go bald my nigga,Bully
Call CCCP on your ass.,Bully
ima touch you too,Not Bully
@armin_azimiesverresen (@nickolasverresen) _armin_azimiesen (@nickolasverresen) _armin_azimiesen (@nickolasverresen (@unicolasverresen) _in_azimi13 _nickolasverrensen (@unicolasverrensen) _armin_azimazimiesen (@nickolasverresen) _unicolasverresen (@unicolasverresen) _armif_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_ (f_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_a_f_f_a_a_a_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f_f/f_f_f/f/f/f/f/f_f_f_f_f_f_f_f/f/f/f/f/f/f_f/f/f/f/f/f/f_f_f/f,Bully
@bashir_2465 yes you,Not Bully
I'm talking about niggers.,Bully
@playaboimikey ,Not Bully
The man who wrote it.,Bully
He already ruined his future no Chinese upfront cook no more,Not Bully
Keys without the e,Not Bully
Fucking smart ass.,Bully
Niggers. Niggers are Udams.,Bully
Pov:When you watch vids like this and realized the button,Not Bully
american propaganda ,Not Bully
Who's the nigger and who's the u?,Bully
Nugget,Not Bully
give him fentanyl,Not Bully
"Get my Temu orders, nigger.",Bully
